      5.8814983       5.8814983           0.101               1
       5.880144        5.880144           0.102               1
      5.8787861       5.8787861           0.103               1
      5.8774244       5.8774244           0.104               1
       5.876059        5.876059           0.105               1
      5.8746899       5.8746899           0.106               1
       5.873317        5.873317           0.107               1
      5.8719405       5.8719405           0.108               1
      5.8705601       5.8705601           0.109               1
      5.8691761       5.8691761            0.11               1
      5.8677882       5.8677882           0.111               1
      5.8663967       5.8663967           0.112               1
      5.8650013       5.8650013           0.113               1
      5.8636022       5.8636022           0.114               1
      5.8621993       5.8621993           0.115               1
      5.8607927       5.8607927           0.116               1
      5.8593822       5.8593822           0.117               1
       5.857968        5.857968           0.118               1
      5.8565499       5.8565499           0.119               1
      5.8551281       5.8551281            0.12               1
      5.8537025       5.8537025           0.121               1
       5.852273        5.852273           0.122               1
      5.8508397       5.8508397           0.123               1
      5.8494027       5.8494027           0.124               1
      5.8479617       5.8479617           0.125               1
       5.846517        5.846517           0.126               1
      5.8450684       5.8450684           0.127               1
      5.8436159       5.8436159           0.128               1
      5.8421596       5.8421596           0.129               1
      5.8406994       5.8406994            0.13               1
      5.8392354       5.8392354           0.131               1
      5.8377675       5.8377675           0.132               1
      5.8362957       5.8362957           0.133               1
      5.8348201       5.8348201           0.134               1
      5.8333405       5.8333405           0.135               1
      5.8318571       5.8318571           0.136               1
      5.8303698       5.8303698           0.137               1
      5.8288785       5.8288785           0.138               1
      5.8273834       5.8273834           0.139               1
      5.8258843       5.8258843            0.14               1
      5.8243813       5.8243813           0.141               1
      5.8228743       5.8228743           0.142               1
      5.8213635       5.8213635           0.143               1
      5.8198487       5.8198487           0.144               1
      5.8183299       5.8183299           0.145               1
      5.8168072       5.8168072           0.146               1
      5.8152805       5.8152805           0.147               1
      5.8137498       5.8137498           0.148               1
      5.8122152       5.8122152           0.149               1
      5.8106766       5.8106766            0.15               1
       5.809134        5.809134           0.151               1
      5.8075874       5.8075874           0.152               1
      5.8060368       5.8060368           0.153               1
      5.8044822       5.8044822           0.154               1
      5.8029236       5.8029236           0.155               1
      5.8013609       5.8013609           0.156               1
      5.7997943       5.7997943           0.157               1
      5.7982236       5.7982236           0.158               1
      5.7966488       5.7966488           0.159               1
        5.79507         5.79507            0.16               1
      5.7934872       5.7934872           0.161               1
      5.7919003       5.7919003           0.162               1
      5.7903093       5.7903093           0.163               1
      5.7887143       5.7887143           0.164               1
      5.7871152       5.7871152           0.165               1
      5.7855119       5.7855119           0.166               1
      5.7839046       5.7839046           0.167               1
      5.7822932       5.7822932           0.168               1
      5.7806777       5.7806777           0.169               1
      5.7790581       5.7790581            0.17               1
      5.7774343       5.7774343           0.171               1
      5.7758064       5.7758064           0.172               1
      5.7741744       5.7741744           0.173               1
      5.7725382       5.7725382           0.174               1
      5.7708979       5.7708979           0.175               1
      5.7692534       5.7692534           0.176               1
      5.7676047       5.7676047           0.177               1
      5.7659519       5.7659519           0.178               1
      5.7642949       5.7642949           0.179               1
      5.7626337       5.7626337            0.18               1
      5.7609683       5.7609683           0.181               1
      5.7592987       5.7592987           0.182               1
      5.7576249       5.7576249           0.183               1
