  -3.0000000000    1.#QNAN00000    1.#QNAN00000
  -2.9000000954    1.#QNAN00000    1.#QNAN00000
  -2.8000001907    1.#QNAN00000    1.#QNAN00000
  -2.7000002861    1.#QNAN00000    1.#QNAN00000
  -2.6000003815    1.#QNAN00000    1.#QNAN00000
  -2.5000004768    1.#QNAN00000    1.#QNAN00000
  -2.4000005722    1.#QNAN00000    1.#QNAN00000
  -2.3000006676    1.#QNAN00000    1.#QNAN00000
  -2.2000007629    1.#QNAN00000    1.#QNAN00000
  -2.1000008583    1.#QNAN00000    1.#QNAN00000
  -2.0000009537    1.#QNAN00000    1.#QNAN00000
  -1.9000009298   -1.#QNAN00000   -1.#QNAN00000
  -1.8000009060    1.#QNAN00000    1.#QNAN00000
  -1.7000008821    1.#QNAN00000    1.#QNAN00000
  -1.6000008583    1.#QNAN00000    1.#QNAN00000
  -1.5000008345    1.#QNAN00000    1.#QNAN00000
  -1.4000008106    1.#QNAN00000    1.#QNAN00000
  -1.3000007868   -1.#QNAN00000   -1.#QNAN00000
  -1.2000007629    1.#QNAN00000    1.#QNAN00000
  -1.1000007391   -1.#QNAN00000   -1.#QNAN00000
  -1.0000007153    1.#QNAN00000    1.#QNAN00000
  -0.9000006914    1.#QNAN00000    1.#QNAN00000
  -0.8000006676    1.#QNAN00000    1.#QNAN00000
  -0.7000006437    1.#QNAN00000    1.#QNAN00000
  -0.6000006199    1.#QNAN00000    1.#QNAN00000
  -0.5000005960   -1.#QNAN00000   -1.#QNAN00000
   0.3999993801    1.#QNAN00000    1.#QNAN00000
   1.0999994278    1.#QNAN00000    1.#QNAN00000
   1.1999994516   -1.#QNAN00000   -1.#QNAN00000
   1.2999994755    1.#QNAN00000    1.#QNAN00000
   1.3999994993   -1.#QNAN00000   -1.#QNAN00000
   1.4999995232    1.#QNAN00000    1.#QNAN00000
   1.5999995470   -1.#QNAN00000   -1.#QNAN00000
   1.6999995708    1.#QNAN00000    1.#QNAN00000
   1.7999995947    1.#QNAN00000    1.#QNAN00000
   1.8999996185    1.#QNAN00000    1.#QNAN00000
   1.9999996424    1.#QNAN00000    1.#QNAN00000
   2.0999996662    1.#QNAN00000    1.#QNAN00000
   2.1999995708    1.#QNAN00000    1.#QNAN00000
   2.2999994755    1.#QNAN00000    1.#QNAN00000
   2.3999993801    1.#QNAN00000    1.#QNAN00000
   2.4999992847    1.#QNAN00000    1.#QNAN00000
   2.5999991894    1.#QNAN00000    1.#QNAN00000
   2.6999990940    1.#QNAN00000    1.#QNAN00000
   2.7999989986    1.#QNAN00000    1.#QNAN00000
   2.8999989033    1.#QNAN00000    1.#QNAN00000
   2.9999988079    1.#QNAN00000    1.#QNAN00000
