   0.18232   -1.#IND0
   0.28232   -1.#IND0
   0.38232   -1.#IND0
   0.48232   -1.#IND0
   0.58232   -1.#IND0
   0.68232   -1.#IND0
   0.78232   -1.#IND0
   0.88232   -1.#IND0
   0.98232   -1.#IND0
   1.08232   -1.#IND0
   1.18232   -1.#IND0
   1.28232   -1.#IND0
   1.38232   -1.#IND0
   1.48232   -1.#IND0
   1.58232   -1.#IND0
   1.68232   -1.#IND0
   1.78232   -1.#IND0
   1.88232   -1.#IND0
   1.98232   -1.#IND0
   2.08232   -1.#IND0
   2.18232   -1.#IND0
   2.28232   -1.#IND0
   2.38232   -1.#IND0
   2.48232   -1.#IND0
   2.58232   -1.#IND0
   2.68232   -1.#IND0
   2.78232   -1.#IND0
   2.88232   -1.#IND0
   2.98232   -1.#IND0
